,PLACE NAME,SUPERFICIE TOTAL EN M2,PRECIO USD POR M2,PRICE,CURRENCY,PRECIO USD,TIPO DE PROPIEDAD,CANTIDAD,ZONAS COMUNALES,ambientes_regex,parrilla_regex,cochera_regex,pileta_regex,sum_regex,solarium_regex,gym_regex,balcon_regex,jardin_regex,lavadero_regex,estrenar_regex,quincho_regex,patio_regex
1718,belgrano,237.0,2405.0632911392404,570000.0,usd,570000.0,house,1.0,ZONA NORTE COMUNAL,4,1,1,0,0,0,0,0,0,0,0,0,1
1719,caballito,71.0,2558.450704225352,181650.0,usd,181650.0,apartment,1.0,ZONA CENTRO COMUNAL,3,1,1,0,0,0,0,1,0,0,0,0,0
1720,santelmo,275.0,1327.2727272727273,365000.0,usd,365000.0,house,1.0,ZONA ESTE COMUNAL,6,0,0,0,0,0,0,0,0,0,0,1,0
1721,parquepatricios,209.0,1100.4784688995214,230000.0,usd,230000.0,ph,1.0,ZONA SUR COMUNAL,4,0,1,0,0,0,0,0,0,0,0,1,1
1722,villageneralmitre,225.0,1733.3333333333333,390000.0,usd,390000.0,house,1.0,ZONA OESTE COMUNAL,5,1,0,1,0,0,0,0,0,1,0,0,1
1723,liniers,270.0,1185.1851851851852,320000.0,usd,320000.0,house,1.0,ZONA OESTE COMUNAL,3,0,1,0,0,0,0,0,1,1,0,0,1
1724,villaluro,50.0,2800.0,140000.0,usd,140000.0,apartment,1.0,ZONA OESTE COMUNAL,2,0,0,0,0,0,0,1,0,0,1,0,0
1725,liniers,160.0,1543.75,247000.0,usd,247000.0,house,1.0,ZONA OESTE COMUNAL,4,1,1,0,0,0,0,1,0,1,0,0,0
1726,villaurquiza,112.53061224489795,968.6253173739573,109000.0,usd,109000.0,ph,1.0,ZONA NORTE COMUNAL,2,0,0,0,0,0,0,0,0,0,0,0,0
1727,balvanera,70.0,1928.5714285714287,135000.0,usd,135000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,1,0,0,0,0,0
1728,flores,140.0,1678.5714285714287,235000.0,usd,235000.0,house,1.0,ZONA CENTRO COMUNAL,0,1,0,0,0,0,0,0,0,0,0,1,0
1729,mataderos,55.0,1636.3636363636363,90000.0,usd,90000.0,ph,1.0,ZONA OESTE COMUNAL,3,0,0,0,0,0,0,0,0,0,0,0,1
1730,parquechas,75.0,1933.3333333333333,145000.0,usd,145000.0,apartment,1.0,ZONA NORTE COMUNAL,3,0,0,0,0,0,0,0,0,1,0,0,0
1731,caballito,59.0,1983.050847457627,117000.0,usd,117000.0,apartment,1.0,ZONA CENTRO COMUNAL,3,0,0,0,0,0,0,0,0,1,0,0,1
1732,recoleta,78.0,2666.6666666666665,208000.0,usd,208000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,0,0,0,0,0,0
1733,recoleta,65.0,3846.153846153846,250000.0,usd,250000.0,apartment,1.0,ZONA ESTE COMUNAL,2,0,0,1,0,1,1,0,0,0,0,0,0
1734,recoleta,110.0,2090.909090909091,230000.0,usd,230000.0,apartment,1.0,ZONA ESTE COMUNAL,4,0,0,0,0,0,0,1,0,0,0,0,0
1735,recoleta,289.0,2768.166089965398,800000.0,usd,800000.0,piso/penthouse,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,0,1,0,0,0,0
1736,recoleta,151.0,3377.4834437086092,510000.0,usd,510000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,1,0,1,0,0,0
1737,saavedra,460.0,1282.608695652174,590000.0,usd,590000.0,house,1.0,ZONA NORTE COMUNAL,0,0,0,1,0,0,0,1,1,1,0,0,1
1738,villapueyrredón,135.0,1718.5185185185185,232000.0,usd,232000.0,ph,1.0,ZONA NORTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
1739,barracas,87.0,2183.9080459770116,190000.0,usd,190000.0,apartment,1.0,ZONA SUR COMUNAL,0,0,0,0,0,0,0,0,0,1,0,0,0
1740,barracas,58.0,2034.4827586206898,118000.0,usd,118000.0,apartment,1.0,ZONA SUR COMUNAL,2,0,0,0,0,0,0,0,1,0,0,0,1
1741,recoleta,200.0,2600.0,520000.0,usd,520000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,0,1,1,0,0,0
1742,santelmo,400.0,837.5,335000.0,usd,335000.0,piso/penthouse,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,1
1743,recoleta,206.0,5582.52427184466,1150000.0,usd,1150000.0,piso/penthouse,1.0,ZONA ESTE COMUNAL,0,1,1,1,0,0,1,1,0,1,0,0,0
1744,palermochico,455.0,5934.065934065934,2700000.0,usd,2700000.0,piso/penthouse,1.0,ZONA NORTE COMUNAL,0,0,1,1,0,0,0,1,0,0,0,0,0
1745,palermochico,59.0,3898.3050847457625,230000.0,usd,230000.0,apartment,1.0,ZONA NORTE COMUNAL,0,0,0,0,0,0,0,1,0,0,1,0,0
1746,palermo,102.0,3186.274509803922,325000.0,usd,325000.0,duplex/triplex,1.0,ZONA NORTE COMUNAL,0,0,1,0,0,0,0,1,0,1,0,0,0
1747,sannicolás,190.0,1842.1052631578948,350000.0,usd,350000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
1748,caballito,101.0,2920.792079207921,295000.0,usd,295000.0,apartment,1.0,ZONA CENTRO COMUNAL,4,0,1,0,0,0,0,1,1,1,0,0,0
1749,mataderos,78.6923076923077,613.782991202346,48300.0,usd,48300.0,apartment,1.0,ZONA OESTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
