iter	Passed	Remaining
1077	12784	34652
1078	12796	34642
1079	12809	34632
1080	12820	34619
1081	12832	34607
1082	12845	34598
1083	12858	34590
1084	12872	34582
1085	12883	34569
1086	12896	34560
1087	12908	34548
1088	12920	34537
1089	12931	34524
1090	12943	34512
1091	12956	34502
1092	12968	34492
1093	12980	34479
1094	12991	34466
1095	13004	34456
1096	13015	34443
1097	13028	34432
1098	13040	34422
1099	13052	34412
1100	13067	34408
1101	13080	34397
1102	13093	34390
1103	13105	34378
1104	13117	34365
1105	13128	34352
1106	13152	34373
1107	13170	34376
1108	13183	34366
1109	13194	34353
1110	13205	34338
1111	13217	34326
1112	13230	34317
1113	13240	34302
1114	13252	34289
1115	13265	34281
1116	13278	34272
1117	13290	34259
1118	13301	34245
1119	13312	34232
1120	13324	34221
1121	13335	34205
1122	13347	34195
1123	13359	34182
1124	13371	34170
1125	13383	34158
1126	13392	34140
1127	13403	34126
1128	13415	34114
1129	13426	34101
1130	13438	34088
1131	13451	34079
1132	13464	34071
1133	13477	34063
1134	13491	34055
1135	13505	34048
1136	13515	34033
1137	13527	34019
1138	13540	34011
1139	13553	34001
1140	13565	33990
1141	13577	33979
1142	13589	33969
1143	13602	33958
1144	13614	33947
1145	13625	33934
1146	13637	33920
1147	13650	33911
1148	13661	33897
1149	13672	33884
1150	13686	33876
1151	13699	33867
1152	13710	33855
1153	13722	33843
1154	13734	33830
1155	13746	33819
1156	13757	33805
1157	13769	33794
1158	13782	33784
1159	13794	33771
1160	13804	33756
1161	13816	33745
1162	13828	33732
1163	13840	33720
1164	13855	33717
1165	13869	33710
1166	13883	33703
1167	13897	33697
1168	13909	33684
1169	13921	33673
1170	13933	33662
1171	13947	33654
1172	13960	33646
1173	13973	33636
1174	13985	33624
1175	13997	33613
1176	14009	33601
1177	14021	33588
1178	14033	33579
1179	14045	33566
1180	14058	33555
1181	14071	33548
1182	14085	33540
1183	14096	33527
1184	14108	33514
1185	14121	33504
1186	14134	33497
1187	14147	33486
1188	14158	33473
1189	14171	33463
1190	14182	33450
1191	14194	33438
1192	14205	33423
1193	14215	33408
1194	14226	33392
1195	14237	33380
1196	14252	33373
1197	14264	33363
1198	14279	33358
1199	14293	33351
1200	14306	33341
1201	14317	33328
1202	14329	33316
1203	14343	33308
1204	14356	33299
1205	14368	33288
1206	14381	33278
1207	14391	33263
1208	14402	33249
1209	14414	33235
1210	14425	33223
1211	14438	33212
1212	14450	33200
1213	14464	33193
1214	14478	33186
1215	14491	33178
1216	14507	33174
1217	14519	33162
1218	14531	33150
1219	14543	33139
1220	14554	33126
1221	14564	33110
1222	14575	33095
1223	14587	33083
1224	14598	33070
1225	14610	33059
1226	14622	33046
1227	14633	33033
1228	14646	33022
1229	14657	33009
1230	14671	33001
1231	14684	32993
1232	14699	32986
1233	14714	32981
1234	14726	32971
1235	14738	32957
1236	14750	32947
1237	14762	32934
1238	14773	32920
1239	14784	32908
1240	14799	32901
1241	14812	32892
1242	14824	32880
1243	14836	32869
1244	14847	32856
1245	14859	32843
1246	14872	32833
1247	14883	32820
1248	14896	32810
1249	14912	32806
1250	14923	32793
1251	14935	32781
1252	14946	32768
1253	14960	32760
1254	14972	32748
1255	14984	32737
1256	14995	32722
1257	15007	32710
1258	15018	32698
1259	15031	32686
1260	15042	32674
1261	15053	32660
1262	15066	32650
1263	15077	32636
1264	15090	32625
1265	15103	32616
1266	15116	32608
1267	15130	32599
1268	15142	32587
1269	15153	32574
1270	15165	32562
1271	15176	32547
1272	15186	32533
1273	15199	32523
1274	15210	32509
1275	15221	32495
1276	15236	32488
1277	15248	32477
1278	15259	32464
1279	15269	32448
1280	15282	32437
1281	15295	32428
1282	15309	32420
1283	15323	32412
1284	15335	32402
1285	15347	32389
1286	15358	32376
1287	15370	32364
1288	15383	32354
1289	15394	32340
1290	15405	32327
1291	15418	32315
1292	15429	32303
1293	15441	32291
1294	15451	32275
1295	15464	32264
1296	15476	32253
1297	15488	32241
1298	15502	32233
1299	15516	32226
1300	15529	32216
1301	15540	32202
1302	15551	32189
1303	15564	32178
1304	15574	32164
1305	15585	32149
1306	15597	32137
1307	15609	32125
1308	15620	32111
1309	15631	32098
1310	15642	32085
1311	15653	32069
1312	15665	32057
1313	15677	32046
1314	15690	32036
1315	15704	32028
1316	15720	32025
1317	15737	32023
1318	15750	32013
1319	15761	32001
1320	15774	31989
1321	15786	31978
1322	15798	31966
1323	15809	31953
1324	15820	31939
1325	15831	31925
1326	15844	31915
1327	15855	31902
1328	15869	31893
1329	15883	31885
1330	15894	31873
1331	15908	31864
1332	15919	31850
1333	15931	31839
1334	15943	31826
1335	15954	31813
1336	15965	31800
1337	15977	31788
1338	15991	31779
1339	16004	31769
1340	16015	31756
1341	16027	31744
1342	16039	31732
1343	16052	31722
1344	16064	31710
1345	16085	31717
1346	16100	31711
1347	16114	31703
1348	16128	31694
1349	16141	31685
1350	16152	31672
1351	16165	31661
1352	16177	31649
1353	16189	31637
1354	16201	31625
1355	16213	31613
1356	16225	31602
1357	16237	31591
1358	16248	31576
1359	16260	31564
1360	16273	31555
1361	16286	31544
1362	16299	31535
1363	16311	31523
1364	16324	31513
1365	16338	31504
1366	16349	31491
1367	16361	31479
1368	16374	31469
1369	16385	31456
1370	16397	31443
1371	16409	31432
1372	16424	31425
1373	16436	31414
1374	16448	31401
1375	16459	31387
1376	16470	31375
1377	16483	31363
1378	16495	31352
1379	16508	31343
1380	16523	31336
1381	16538	31329
1382	16549	31316
1383	16561	31304
1384	16573	31292
1385	16586	31281
1386	16596	31267
1387	16609	31255
1388	16621	31244
1389	16634	31234
1390	16643	31217
1391	16657	31208
1392	16670	31199
1393	16683	31188
1394	16693	31173
1395	16707	31164
1396	16719	31153
1397	16732	31143
1398	16748	31138
1399	16760	31127
1400	16772	31114
1401	16784	31101
1402	16794	31087
1403	16807	31076
1404	16818	31064
1405	16831	31053
1406	16845	31044
1407	16855	31029
1408	16866	31014
1409	16877	31001
1410	16887	30987
1411	16900	30975
1412	16916	30971
1413	16930	30964
1414	16944	30955
1415	16955	30941
1416	16967	30929
1417	16979	30918
1418	16991	30904
1419	17004	30896
1420	17016	30884
1421	17030	30875
1422	17042	30864
1423	17055	30852
1424	17066	30839
1425	17082	30834
1426	17095	30824
1427	17111	30820
1428	17127	30815
1429	17140	30805
1430	17154	30796
1431	17166	30784
1432	17176	30769
1433	17190	30761
1434	17202	30748
1435	17213	30734
1436	17224	30721
1437	17236	30709
1438	17248	30696
1439	17259	30684
1440	17270	30669
1441	17282	30657
1442	17293	30643
1443	17305	30632
1444	17318	30621
1445	17331	30612
1446	17345	30603
1447	17358	30593
1448	17370	30581
1449	17384	30572
1450	17396	30560
1451	17409	30550
1452	17422	30539
1453	17433	30526
1454	17445	30514
1455	17456	30501
1456	17469	30491
1457	17482	30480
1458	17495	30469
1459	17508	30459
1460	17521	30449
1461	17533	30437
1462	17546	30426
1463	17559	30417
1464	17572	30406
1465	17584	30395
1466	17594	30379
1467	17606	30367
1468	17617	30354
1469	17629	30342
1470	17640	30328
1471	17653	30318
1472	17665	30306
1473	17676	30292
1474	17688	30280
1475	17701	30270
1476	17712	30256
1477	17724	30245
1478	17737	30234
1479	17753	30228
1480	17770	30225
1481	17785	30219
1482	17798	30207
1483	17812	30198
1484	17824	30187
1485	17835	30174
1486	17848	30163
1487	17860	30151
1488	17871	30138
1489	17883	30125
1490	17894	30112
1491	17906	30100
1492	17919	30089
1493	17930	30075
1494	17943	30065
1495	17957	30057
1496	17970	30047
1497	17983	30035
1498	17995	30024
1499	18006	30011
1500	18018	29998
1501	18029	29984
1502	18040	29971
1503	18051	29958
1504	18063	29945
1505	18076	29934
1506	18088	29922
1507	18100	29910
1508	18111	29897
1509	18123	29885
1510	18137	29876
1511	18149	29865
1512	18164	29857
1513	18174	29842
1514	18187	29831
1515	18199	29820
1516	18210	29807
1517	18223	29796
1518	18235	29783
1519	18246	29771
1520	18258	29757
1521	18267	29742
1522	18280	29731
1523	18293	29721
1524	18305	29709
1525	18318	29698
1526	18330	29686
1527	18345	29678
1528	18360	29672
1529	18377	29668
1530	18391	29658
1531	18402	29645
1532	18413	29632
1533	18426	29622
1534	18438	29609
1535	18450	29596
1536	18461	29584
1537	18473	29572
1538	18485	29559
1539	18498	29550
1540	18510	29537
1541	18523	29526
1542	18536	29516
1543	18550	29507
1544	18563	29498
1545	18578	29489
1546	18590	29477
1547	18603	29466
1548	18615	29455
1549	18626	29442
1550	18637	29428
1551	18647	29413
1552	18660	29401
1553	18671	29388
1554	18682	29374
1555	18694	29363
1556	18706	29351
1557	18717	29338
1558	18729	29326
1559	18742	29315
1560	18757	29307
1561	18773	29301
1562	18784	29288
1563	18798	29279
1564	18811	29269
1565	18825	29259
1566	18835	29244
1567	18848	29234
1568	18861	29223
1569	18872	29210
1570	18885	29199
1571	18896	29186
1572	18909	29175
1573	18922	29165
1574	18935	29154
1575	18948	29144
1576	18961	29133
1577	18974	29123
1578	18989	29114
1579	19001	29103
1580	19014	29093
1581	19026	29080
1582	19039	29070
1583	19051	29058
1584	19061	29043
1585	19072	29029
1586	19083	29016
1587	19095	29003
1588	19107	28991
1589	19118	28978
1590	19130	28966
1591	19142	28954
1592	19156	28944
1593	19169	28933
1594	19181	28923
1595	19195	28913
1596	19208	28903
1597	19221	28892
1598	19234	28881
1599	19247	28870
1600	19259	28858
1601	19269	28843
1602	19280	28829
1603	19292	28817
1604	19302	28804
1605	19314	28791
1606	19327	28781
1607	19340	28769
1608	19351	28756
1609	19364	28745
1610	19378	28737
1611	19390	28724
1612	19403	28714
1613	19415	28702
1614	19427	28690
1615	19439	28678
1616	19451	28666
1617	19462	28652
1618	19475	28641
1619	19487	28629
1620	19499	28617
1621	19511	28606
1622	19524	28594
1623	19537	28584
1624	19548	28571
1625	19560	28558
1626	19574	28550
1627	19588	28540
1628	19603	28532
1629	19616	28521
1630	19626	28507
1631	19637	28493
1632	19648	28480
1633	19659	28466
1634	19671	28455
1635	19683	28441
1636	19695	28430
1637	19707	28418
1638	19718	28404
1639	19729	28390
1640	19739	28376
1641	19751	28364
1642	19764	28353
1643	19778	28344
1644	19791	28333
1645	19806	28325
1646	19822	28319
1647	19835	28309
1648	19855	28307
1649	19868	28296
1650	19878	28282
1651	19889	28268
1652	19900	28255
1653	19914	28246
1654	19925	28232
1655	19936	28219
1656	19947	28206
1657	19958	28192
1658	19971	28182
1659	19986	28173
1660	20000	28164
1661	20015	28156
1662	20031	28150
1663	20044	28139
1664	20056	28126
1665	20068	28114
1666	20079	28101
1667	20090	28088
1668	20102	28075
